,0
843,JHU-002158
844,JHU-002180
845,JHU-001994
846,JHU-002167
847,JHU-002044
848,JHU-002156
849,JHU-001992
850,JHU-002155
851,JHU-002185
852,JHU-000189
853,JHU-002048
854,JHU-002038
855,JHU-002170
856,JHU-002054
857,JHU-002046
858,JHU-002152
859,JHU-002042
860,JHU-002040
861,JHU-000193
862,JHU-002157
863,JHU-002163
864,JHU-002162
865,JHU-002166
866,JHU-002039
867,JHU-002047
868,JHU-001997
869,JHU-002168
870,JHU-002049
871,JHU-002012
872,JHU-000192
873,JHU-002000
874,JHU-002057
875,JHU-002179
876,JHU-002033
877,JHU-002161
878,JHU-002151
879,JHU-005846
880,JHU-001117
881,JHU-000355
882,JHU-000472
883,JHU-000466
884,JHU-000434
885,JHU-000339
886,JHU-000443
887,JHU-000467
888,JHU-000660
889,JHU-000665
890,JHU-000359
891,JHU-000439
892,JHU-000342
893,JHU-000358
894,JHU-000448
895,JHU-000447
896,JHU-000664
897,JHU-000491
898,JHU-000457
899,JHU-000438
900,JHU-000212
901,JHU-000456
902,JHU-000435
903,JHU-000658
904,JHU-000471
905,JHU-000436
906,JHU-000465
907,JHU-000663
908,JHU-000469
909,JHU-000468
910,JHU-000343
911,JHU-000655
912,JHU-000661
913,JHU-000662
914,JHU-000437
915,JHU-000446
916,JHU-000459
917,JHU-000463
918,JHU-000458
919,JHU-000464
920,JHU-001415
921,JHU-001352
922,JHU-001094
923,JHU-001085
924,JHU-001040
925,JHU-001475
926,JHU-001423
927,JHU-000643
928,JHU-001373
929,JHU-001124
930,JHU-001551
931,JHU-001291
932,JHU-001333
933,JHU-001065
934,JHU-000295
935,JHU-001185
936,JHU-001289
937,JHU-001137
938,JHU-001537
939,JHU-005288
940,JHU-001471
941,JHU-001501
942,JHU-005289
943,JHU-005280
944,JHU-001152
945,JHU-005291
946,JHU-001506
947,JHU-005284
948,JHU-005285
949,JHU-005310
950,JHU-005283
951,JHU-005290
952,JHU-005293
953,JHU-005311
954,JHU-001082
955,JHU-001103
956,JHU-005292
957,JHU-001482
958,JHU-005287
959,JHU-001155
960,JHU-001250
961,JHU-005281
962,JHU-005286
963,JHU-001538
964,JHU-001400
965,JHU-001545
966,JHU-005282
967,JHU-001092
968,JHU-001080
969,JHU-000377
970,JHU-001502
971,JHU-007559
972,JHU-001170
973,JHU-001191
974,JHU-007563
975,JHU-001259
976,JHU-001335
977,JHU-001048
978,JHU-007561
979,JHU-007560
980,JHU-000379
981,JHU-001319
982,JHU-001374
983,JHU-001403
984,JHU-001088
985,JHU-001372
986,JHU-007542
987,JHU-001180
988,JHU-001156
989,JHU-000378
990,JHU-001166
991,JHU-001275
992,JHU-001056
993,JHU-001254
994,JHU-007549
995,JHU-001401
996,JHU-001041
997,JHU-007558
998,JHU-001434
999,JHU-007545
1000,JHU-001181
1001,JHU-007552
1002,JHU-001115
1003,JHU-001238
1004,JHU-007555
1005,JHU-007564
1006,JHU-001016
1007,JHU-001296
1008,JHU-001179
1009,JHU-001503
1010,JHU-001380
1011,JHU-007554
1012,JHU-001105
1013,JHU-001408
1014,JHU-001285
1015,JHU-001309
1016,JHU-001557
1017,JHU-001011
1018,JHU-001299
1019,JHU-007541
1020,JHU-007562
1021,JHU-001210
1022,JHU-001330
1023,JHU-001329
1024,JHU-007544
1025,JHU-001389
1026,JHU-001022
1027,JHU-001220
1028,JHU-001417
1029,JHU-007551
1030,JHU-001338
1031,JHU-001405
1032,JHU-007546
1033,JHU-001404
1034,JHU-001428
1035,JHU-001003
1036,JHU-007547
1037,JHU-001558
1038,JHU-001098
1039,JHU-007557
1040,JHU-007550
1041,JHU-007553
1042,JHU-001283
1043,JHU-007543
1044,JHU-001031
1045,JHU-001232
1046,JHU-001247
1047,JHU-007548
1048,JHU-007540
1049,JHU-007556
1050,JHU-004416
1051,JHU-004414
1052,JHU-005619
1053,JHU-004415
1054,JHU-005604
1055,JHU-005560
1056,JHU-005651
1057,JHU-005681
1058,JHU-005682
1059,JHU-005563
1060,JHU-005609
1061,JHU-005603
1062,JHU-005645
1063,JHU-004419
1064,JHU-005622
1065,JHU-005561
1066,JHU-004410
1067,JHU-005586
1068,JHU-005637
1069,JHU-005659
1070,JHU-004413
1071,JHU-004409
1072,JHU-005654
1073,JHU-005630
1074,JHU-004412
1075,JHU-004420
1076,JHU-005634
1077,JHU-000289
1078,JHU-000288
1079,JHU-000300
1080,JHU-001162
1081,JHU-002457
1082,JHU-002205
